DateKey,Date,Day,WeekNr,Month,Monthshort,MonthNo,Quater,Year
20210412,2021-04-12,2,16,April,Apr,4,2,2021
20210413,2021-04-13,3,16,April,Apr,4,2,2021
20210414,2021-04-14,4,16,April,Apr,4,2,2021
20210415,2021-04-15,5,16,April,Apr,4,2,2021
20210416,2021-04-16,6,16,April,Apr,4,2,2021
20210417,2021-04-17,7,16,April,Apr,4,2,2021
20210418,2021-04-18,1,17,April,Apr,4,2,2021
20210419,2021-04-19,2,17,April,Apr,4,2,2021
20210420,2021-04-20,3,17,April,Apr,4,2,2021
20210421,2021-04-21,4,17,April,Apr,4,2,2021
20210422,2021-04-22,5,17,April,Apr,4,2,2021
20210423,2021-04-23,6,17,April,Apr,4,2,2021
20210424,2021-04-24,7,17,April,Apr,4,2,2021
20210425,2021-04-25,1,18,April,Apr,4,2,2021
20210426,2021-04-26,2,18,April,Apr,4,2,2021
20210427,2021-04-27,3,18,April,Apr,4,2,2021
20210428,2021-04-28,4,18,April,Apr,4,2,2021
20210429,2021-04-29,5,18,April,Apr,4,2,2021
20210430,2021-04-30,6,18,April,Apr,4,2,2021
20210501,2021-05-01,7,18,May,May,5,2,2021
20210502,2021-05-02,1,19,May,May,5,2,2021
20210503,2021-05-03,2,19,May,May,5,2,2021
20210504,2021-05-04,3,19,May,May,5,2,2021
20210505,2021-05-05,4,19,May,May,5,2,2021
20210506,2021-05-06,5,19,May,May,5,2,2021
20210507,2021-05-07,6,19,May,May,5,2,2021
20210508,2021-05-08,7,19,May,May,5,2,2021
